id,anunciante,titulo,municipio,zona,precio_eur,precio_anterior_eur,descuento_pct,superficie_m2,tipo_suelo,referencia_catastral,notas
159,Inmobiliaria montaña,"Terreno en Calle Román Rivas, 14, Maliaño, Camargo",Camargo,"Calle Román Rivas, 14, Maliaño",200000,,,743,,,"Dos parcelas de 743 m² cada una; proyecto + licencia pagada (según texto)"
160,Inmobiliaria montaña,"Terreno en Avenida de Santander, 72, Herrera, Camargo",Camargo,"Avenida de Santander, 72, Herrera",255000,,,1429,"Urbano (solar)",,"Proyecto visado/pagado; 2 chalets (según texto)"
161,Inmobiliaria cantabria,"Terreno en Barrio San Julián, 34, Zurita, Piélagos",Piélagos,"Barrio San Julián, 34, Zurita",212000,,,10910,"Urbano (solar)",,"Parte rústica + urbana; catastro parte urbana 4.384 m² (según texto)"
162,Inmobiliaria cantabria,"Terreno en Barrio Zurita, 2 D, Zurita, Piélagos",Piélagos,"Barrio Zurita, 2 D, Zurita",140000,,,3490,"Urbano (solar)",,
163,Inmobiliaria cantabria,"Terreno en Avenida Monseñor del Val, 20, Suances",Suances,"Avenida Monseñor del Val, 20",114950,,,1267,Urbanizable,,
164,,"Terreno en Somarriba, 5, Liencres, Piélagos",Piélagos,"Somarriba, 5, Liencres",180000,,,1817,"Urbano (solar)",,"Vistas al mar (indicado); proyecto con visto bueno ayto (según texto)"
165,,"Terreno en Vía, Oruña, Piélagos",Piélagos,"Vía, Oruña",166000,,,2437,Urbanizable,2957011VP2025N0001UH,"Mismo RC que id 108"
166,Fincas Indautxu,"Terreno en Barrio Llatas, 14, Liencres, Piélagos",Piélagos,"Barrio Llatas, 14, Liencres",235000,,,750,"Urbano (solar)",,"Vistas al mar; 5 parcelas; licencia + proyecto (según texto)"
167,compracasa-online,"Terreno en Calle la gesa, Bezana, Santa Cruz de Bezana",Santa Cruz de Bezana,"Calle la gesa, Bezana",180000,,,12925,"Urbano (solar)",,"Parte urbana 1.050 m² U1; resto rústico (según texto)"
168,Oyambre Servicios Inmobiliarios,"Terreno en Barrio Zurita, Zurita, Piélagos",Piélagos,"Barrio Zurita, Zurita",85000,,,8172,Urbanizable,,
169,Esparta Inmobiliaria,"Terreno en La Albericia, s/n, Alisal - Cazoña - San Román, Santander",Santander,"La Albericia, s/n, Alisal - Cazoña - San Román",850000,,,6250,Urbanizable,,"Ámbito SUNC AE-79; 6.264,59 m²s (según texto) (inconsistencia)"
170,,"Terreno en Barrio Mijares, 86 u, Polanco",Polanco,"Barrio Mijares, 86 u",85000,,,1600,Urbanizable,,"Autorización CROTU; proyecto básico (según texto)"
171,,"Terreno en Calle la Reina, 3, Bezana, Santa Cruz de Bezana",Santa Cruz de Bezana,"Calle la Reina, 3, Bezana",179000,182000,2,955,"Urbano (solar)",,
172,,"Terreno en Calle Vía, Suances",Suances,"Calle Vía",362000,,,2405,"Urbano (solar)",5451909VP1055S0001OQ,
173,,"Terreno en Barrio Mijares, s/n, Polanco",Polanco,"Barrio Mijares, s/n",61000,,,6006,Urbanizable,,"Licencia para construir (según texto)"
174,Inmobiliarias San Fernando,"Terreno en Calle Santa Teresa, Maliaño, Camargo",Camargo,"Calle Santa Teresa, Maliaño",390000,,,2173,Urbanizable,,
175,Inmobiliaria PAS-NuevoPiso,"Terreno en Barrio la Soledad, Arce, Piélagos",Piélagos,"Barrio la Soledad, Arce",157000,,,1478,"Urbano (solar)",,
176,,"Terreno en El Jomizo, s/n, Barcenilla - Quijano, Piélagos",Piélagos,"El Jomizo, s/n, Barcenilla - Quijano",27500,,,10237,"No urbanizable",,"Parcela forestal (eucaliptos) (según texto)"
177,,"Terreno en Barrio Mijares, 1, Polanco",Polanco,"Barrio Mijares, 1",60000,,,6048,Urbanizable,,"Licencia para construir (según texto)"
178,,"Terreno en Alto Barrio Sorribero Alto, 13, Renedo, Piélagos",Piélagos,"Alto Barrio Sorribero Alto, 13, Renedo",150000,,,1082,"Urbano (solar)",,
179,,"Terreno en El montonorio, s/n, Miengo",Miengo,"El montonorio, s/n",115000,,,1000,"Urbano (solar)",,"Núcleo urbano Gornazo; licencias mencionadas (según texto)"
180,,"Terreno en Polígono 201 Parcela 108 El Patron. Pielagos, 108 Parcela, Zurita, Piélagos",Piélagos,"Polígono 201 Parcela 108 El Patron, Zurita",105000,,,1643,Urbanizable,,"Precio medio indicado 135 €/m² (según texto)"
181,,"Terreno en Barrio Llejo, 1, Oruña, Piélagos",Piélagos,"Barrio Llejo, 1, Oruña",65000,,,914,"Urbano (solar)",,
182,,"Terreno en Barrio la Sierra, 3, Liencres, Piélagos",Piélagos,"Barrio la Sierra, 3, Liencres",315000,,,357,"Urbano (solar)",,"Vistas al mar; edificabilidad 259 m²"
183,EC Inmobiliaria,"Terreno en Calle Mateo Escagedo Salmón, Monte, Santander",Santander,"Monte",375000,,,834,Urbanizable,,"Uso industrial/comercial"
184,,"Terreno en Barrio Rinconeda, Polanco",Polanco,"Barrio Rinconeda",643900,,,3251,"Urbano (solar)",,"Promoción obra parada; RU"
185,,"Terreno en S/n, Carandía, Piélagos",Piélagos,Carandía,45000,,,1256,"Urbano (solar)",,"Proyecto básico vivienda"
186,Oyambre Servicios Inmobiliarios,"Terreno en Barrio San Julián, Zurita, Piélagos",Piélagos,"Barrio San Julián, Zurita",48000,,,3670,Urbanizable,,
187,Inmobiliarias San Fernando,"Terreno en Calle Joaquín Salas, Peñacastillo - Nuevamontaña, Santander",Santander,"Peñacastillo - Nuevamontaña",295000,,,1502,"Urbano (solar)",,
188,,"Terreno en Calle Bolado, Monte, Santander",Santander,"Monte",471600,,,9803,Urbanizable,3542024VP3134A0001DK,
189,,"Terreno en Calle Aurelio Diez, Renedo, Piélagos",Piélagos,Renedo,204000,,,1260,"Urbano (solar)",2707080VP2020N0001R,
190,Activa Norte Gestión Inmobiliaria,"Terreno en Puente Barrio El, Carandía, Piélagos",Piélagos,Carandía,250000,,,6874,"Urbano (solar)",,
191,Activa Norte Gestión Inmobiliaria,"Terreno en Somarriba, 5, Liencres, Piélagos",Piélagos,Liencres,180000,,,1817,"Urbano (solar)",,"Vistas al mar"
192,,"Terreno en Barrio Mijares, Santillana del Mar",Santillana del Mar,"Barrio Mijares",169500,,,10608,Urbanizable,,
193,Gestiona Consuelo,"Terreno en Barrio Polanco, Polanco",Polanco,"Barrio Polanco",82000,,,531,"Urbano (solar)",,
194,Activa Norte Gestión Inmobiliaria,"Terreno en Ca-133, Santillana del Mar",Santillana del Mar,"Ca-133",240000,,,1800,"Urbano (solar)",,
195,Esparta Inmobiliaria,"Terreno en Calle el Castro, Alisal - Cazoña - San Román, Santander",Santander,"Alisal - Cazoña - San Román",200000,,,1200,"Urbano (solar)",,
196,Activa Norte Gestión Inmobiliaria,"Terreno en Diseminado Santillana, Santillana del Mar",Santillana del Mar,"Diseminado Santillana",360000,,,53000,"Urbano (solar)",,"Finca agroganadera"
197,,"Terreno en Maoño, Santa Cruz de Bezana",Santa Cruz de Bezana,Maoño,100000,,,705,"Urbano (solar)",,
198,Northome Cantabria,"Terreno en Avenida Prezanes, Bezana, Santa Cruz de Bezana",Santa Cruz de Bezana,Prezanes,149000,,,815,"Urbano (solar)",,
199,,"Terreno en Barrio Puente Arce, Arce, Piélagos",Piélagos,Arce,189000,,,3000,Urbanizable,,
200,,"Terreno en Puente Barrio Zurita-el Puente, Zurita, Piélagos",Piélagos,Zurita,48000,,,3600,Urbanizable,,
201,Distrito inmobiliario,"Terreno en Barrio Rumoroso, Polanco",Polanco,"Barrio Rumoroso",55000,,,5380,Urbanizable,,
202,Inmobiliaria cantabria,"Terreno en Avenida Monseñor del Val, Suances",Suances,"Av. Monseñor del Val",102850,,,1285,Urbanizable,,
203,,"Terreno en Barrio Parbayon, Parbayón, Piélagos",Piélagos,Parbayón,158000,,,16062,"No urbanizable",,
204,,"Terreno en Avenida Juan de Herrera, Maoño, Santa Cruz de Bezana",Santa Cruz de Bezana,Maoño,110000,,,395,"Urbano (solar)",,
205,Oyambre Servicios Inmobiliarios,"Terreno en Calle Alta, Centro - Ayuntamiento, Santander",Santander,"Centro",115000,,,45,"Urbano (solar)",,"Proindiviso 9%"
206,,"Terreno en Pereo, Santillana del Mar",Santillana del Mar,Pereo,550000,,,7500,"Urbano (solar)",,
207,Lovia Homes S.L.,"Terreno en Bezana, Santa Cruz de Bezana",Santa Cruz de Bezana,Bezana,101000,,,15292,,,
208,Activa Norte Gestión Inmobiliaria,"Terreno en Barrio Menocal, Polanco",Polanco,"Barrio Menocal",65000,,,1650,"No urbanizable",,
209,,"Terreno en Barrio Salcedo, Vioño, Piélagos",Piélagos,Vioño,80000,,,2300,"Urbano (solar)",,
210,,"Terreno en Callejón Barrio la, Boo, Piélagos",Piélagos,Boo,280000,,,3167,"Urbano (solar)",,"Vistas al mar"
211,,"Terreno en Barrio el Molino, Polanco",Polanco,"Barrio el Molino",185300,,,3138,"Urbano (solar)",6731407VP1063S0001TJ,
212,,"Terreno en Bajada de Polio, Los Castros, Santander",Santander,"Los Castros",600000,,,2686,"Urbano (solar)",4633212VP3143D0001UO,
213,,"Terreno en Barrio la Portilla, Barcenilla - Quijano, Piélagos",Piélagos,"Barcenilla - Quijano",46875,,,1216,"Urbano (solar)",2846801VP2024N0001DX,
214,Esparta Inmobiliaria,"Terreno en Barrio Rinconeda, Polanco",Polanco,Rinconeda,234500,,,1858,"Urbano (solar)",6435716VP1063S0001MJ,
215,,"Terreno en Calle Camarreal-Ojaiz, Santander",Santander,Ojaiz,80000,,,1900,"Urbano (solar)",8903611VP21890D0001YI,
216,,"Terreno en Barrio la Llama, Cudón",Miengo,Cudón,72000,76000,5,2123,"Urbano (solar)",8173018VP1087S0000IM,
217,,"Terreno en Calle César Llamazares, Santander",Santander,"Nueva Montaña",136850,,,7732,,2307803VP3120E0003UU,"Uso industrial"
218,,"Terreno en Calle Hinojedo, Suances",Suances,Hinojedo,60000,,,2300,"No urbanizable",,
219,Inmobiliaria Güemes,"Terreno en Barrio la Valleja, Mortera, Piélagos",Piélagos,Mortera,385000,,,2000,"Urbano (solar)",,"Licencia en vigor"
220,,"Terreno en Posadillo, Polanco",Polanco,Posadillo,100000,,,836,"Urbano (solar)",,
221,A3B Gestión Inmobiliaria,"Terreno en Bezana, Santa Cruz de Bezana",Santa Cruz de Bezana,Bezana,100000,,,580,Urbanizable,,
222,,"Terreno en Suances, Suances",Suances,Hinojedo,60000,,,3200,Urbanizable,,
223,,"Terreno en Calle las Presas, 22, Herrera, Camargo",Camargo,Herrera,330000,350000,6,2911,"Urbano (solar)",,
224,,"Terreno en Barrio Pereo, Santillana del Mar",Santillana del Mar,Viveda,416000,,,7263,"Urbano (solar)",,
225,,"Terreno en Muriedas, Camargo",Camargo,Muriedas,395000,,,2374,"Urbano (solar)",,
226,Inmobiliaria montaña,"Terreno en Barrio del Cabido, Igollo, Camargo",Camargo,Igollo,155000,,,2500,"Urbano (solar)",,
227,Gestion inmobiliaria gumar,"Terreno en Santillana del Mar",Santillana del Mar,,1500000,,,65059,"No urbanizable",,
228,Inmobiliaria cobo mantecon,"Terreno en Renedo, Piélagos",Piélagos,Renedo,88000,,,555,"Urbano (solar)",,
229,,"Terreno en Calle Bajada del Caleruco, Los Castros, Santander",Santander,Los Castros,150000,,,12431,"No urbanizable",,
230,,"Terreno en Calle Bajada del Caleruco, Los Castros, Santander",Santander,Los Castros,150000,,,12431,"No urbanizable",,"Duplicado"
231,BEST HOUSE TORRELAVEGA,"Terreno en Polanco",Polanco,,150000,,,55000,"No urbanizable",,
232,,"Terreno en Suances",Suances,Hinojedo,362000,,,7498,"Urbano (solar)",5451909VP1055S0001OQ,
233,Bankcasas.com,"Terreno en Suances",Suances,Hinojedo,362000,,,7498,Urbanizable,5451909VP1055S0001OQ,
234,,"Terreno en Barrio Cianca, Parbayón, Piélagos",Piélagos,Parbayón,56000,,,7000,"No urbanizable",,
235,MARVALLAR,"Terreno en Santillana del Mar",Santillana del Mar,,45000,,,13667,"No urbanizable",,
236,,"Terreno en Barrio Camarreal, Santander",Santander,Peñacastillo,595000,695000,14,4627,"Urbano (solar)",,
237,,"Terreno en Alto Maliaño, Camargo",Camargo,Maliaño,160000,,,572,"Urbano (solar)",,
238,Inmobiliaria cobo mantecon,"Terreno en Maoño, Santa Cruz de Bezana",Santa Cruz de Bezana,Maoño,495000,,,2276,"Urbano (solar)",,
239,E&F asesores,"Terreno en Peñacastillo - Nuevamontaña, Santander",Santander,Peñacastillo,690000,,,2765,"Urbano (solar)",9708958VP2190H0001LW,
240,,"Terreno en Diseminado Rinconeda, Polanco",Polanco,Rinconeda,78000,,,2963,Urbanizable,,
241,Esparta Inmobiliaria,"Terreno en Maoño, Santa Cruz de Bezana",Santa Cruz de Bezana,Maoño,2271000,,,10558,"Urbano (solar)",,
242,,"Terreno en Callejón Barrio la, Boo, Piélagos",Piélagos,Oruña,99900,,,1200,"Urbano (solar)",,
243,,"Terreno en Valmoreda, Barcenilla - Quijano, Piélagos",Piélagos,Valmoreda,130000,,,3398,Urbanizable,,
244,,"Terreno en Barrio Sta Cruz, Escobedo, Camargo",Camargo,Escobedo,100000,,,10480,"No urbanizable",,
245,,"Terreno en Barrio el Bardalon, Revilla, Camargo",Camargo,Revilla,20000,,,440,"No urbanizable",,
246,,"Terreno en Barrio Oruña, Piélagos",Piélagos,Oruña,50000,,,1594,Urbanizable,,
247,,"Terreno en Soto de la Marina, Santa Cruz de Bezana",Santa Cruz de Bezana,Soto de la Marina,130000,,,858,"Urbano (solar)",,
248,,"Terreno en Carretera Ongayo, Suances",Suances,Ongayo,59000,,,5200,"No urbanizable",,
249,E&F asesores,"Terreno en Renedo, Piélagos",Piélagos,Renedo,890000,,,2817,"Urbano (solar)",,
250,,"Terreno en Barrio Rumoroso, Polanco",Polanco,Rumoroso,45000,,,8517,"No urbanizable",,
251,,"Terreno en Calle Bolado, Monte, Santander",Santander,Monte,128700,,,549,"Urbano (solar)",,
252,,"Terreno en Barrio Monsenor, Arce, Piélagos",Piélagos,Arce,195000,,,11854,"Urbano (solar)",,
253,Inmobiliaria montaña,"Terreno en Calle Bolado, Monte, Santander",Santander,Monte,220000,,,684,"Urbano (solar)",,
254,Inmobiliaria montaña,"Terreno en Calle Bolado, Monte, Santander",Santander,Monte,435000,,,1363,"Urbano (solar)",,
255,,"Terreno en Barrio las Cuartas, Renedo, Piélagos",Piélagos,Renedo,149000,,,607,"Urbano (solar)",,
256,,"Terreno en Barrio las Cuartas, Renedo, Piélagos",Piélagos,Renedo,149000,,,607,"Urbano (solar)",,"Duplicado"
257,Exclusivas inmobiliarias mikeli,"Terreno en Barrio la Fuente, Solares",Medio Cudeyo,Valdecilla,390000,,,3600,"Urbano (solar)",,
258,Inmobiliaria Eurocasa,"Terreno en Ca-409, Penagos",Penagos,,120000,,,4877,"No urbanizable",,"Proyecto + autorización"
259,Exclusivas inmobiliarias mikeli,"Terreno en Barrio el Cagigal, Ribamontán al Monte",Ribamontán al Monte,El Cagigal,195000,,,4211,"Urbano (solar)",,
260,Exclusivas inmobiliarias mikeli,"Terreno en Barrio V Peña, Mazcuerras",Mazcuerras,,179000,,,5834,"Urbano (solar)",,
261,LOCALIA INMOBILIARIA,"Terreno en Barrio la Iglesia, Alfoz de Lloredo",Alfoz de Lloredo,Novales,636000,,,3313,"Urbano (solar)",,"Proyecto 12 chalets"
262,altamira21.com,"Terreno en Barrio Ibio, Mazcuerras",Mazcuerras,Ibio,163500,,,2680,"Urbano (solar)",,
263,Inmosantander,"Terreno en Barrio Pontejos, Marina de Cudeyo",Marina de Cudeyo,Pontejos,120000,,,1589,Urbanizable,,
264,Inmosantander,"Terreno en Barrio Pontejos, Marina de Cudeyo",Marina de Cudeyo,Pontejos,220000,,,4087,Urbanizable,,
265,RE/MAX Vértice,"Terreno en Barrio Helguera, Reocín",Reocín,Helguera,880000,,,20209,Urbanizable,,"Incluye edificación 414 m²"
266,Inmosantander,"Terreno en Barrio Pontejos, Marina de Cudeyo",Marina de Cudeyo,Pontejos,145000,,,2934,Urbanizable,,
267,FRESNO GESTION Y VENTA,"Terreno en Barrio Cóbreces, Alfoz de Lloredo",Alfoz de Lloredo,Cóbreces,430000,,,2609,"Urbano (solar)",,
268,Inmobiliaria Mai Home,"Terreno en Barrio Valles, Reocín",Reocín,Valles,280000,,,2949,Urbanizable,,
269,Inmobiliaria las Dunas,"Terreno en Valles, Reocín",Reocín,Valles,55000,,,400,"Urbano (solar)",,
270,Bahía Home,"Terreno en Barrio Obregón, Villaescusa",Villaescusa,Obregón,189000,,,1874,"Urbano (solar)",,
271,altamira21.com,"Terreno en Carretera Nacional 634, Castañeda",Castañeda,,85000,,,4779,Urbanizable,,
272,Bahía Home,"Terreno en San Salvador, Medio Cudeyo",Medio Cudeyo,San Salvador,218000,,,2180,"Urbano (solar)",,
273,Inmobiliaria Barrio,"Terreno en Barrio la Penilla, Santa María de Cayón",Santa María de Cayón,La Penilla,546000,,,7000,"Urbano (solar)",,
274,altamira21.com,"Terreno en Barrio Valles, Reocín",Reocín,Valles,115000,,,2603,"Urbano (solar)",,
275,Inmobiliaria Zubia & Marisol Ceballos,"Terreno en Calle la Industria, El Astillero",El Astillero,,560800,,,5453,"Urbano (solar)",,
276,Opportunity & Deal,"Terreno en Barrio la Virgen, Udías",Udías,,75000,,,218,"Urbano (solar)",,
277,Engel & Völkers Santander,"Terreno en Barrio Abadilla, Santa María de Cayón",Santa María de Cayón,Abadilla,175000,,,41141,"Urbano (solar)",,
278,Engel & Völkers Santander,"Terreno en Barrio la Riva, Villaescusa",Villaescusa,,565000,,,8720,Urbanizable,,
279,Engel & Völkers Santander,"Terreno en Ca-142, Santa María de Cayón",Santa María de Cayón,,498000,,,86420,"Urbano (solar)",,"Finca rústica con edificaciones"
280,inmobiliaria diego,"Terreno en Calle Helguera, Penagos",Penagos,,125000,139000,10,1646,"Urbano (solar)",,
281,eXp Realty España,"Terreno en Barrio la Iglesia, Ribamontán al Monte",Ribamontán al Monte,Alto Marín,150000,,,14764,Urbanizable,,
282,Prada&Asociados,"Terreno en Cabezón de la Sal",Cabezón de la Sal,Casar de Periedo,59000,,,304,"Urbano (solar)",,
283,gestiona inmobiliaria,"Terreno en Ribamontán al Monte",Ribamontán al Monte,,120000,,,8126,"No urbanizable",,
284,Habitar Servicios Inmobiliarios,"Terreno en Barrio San Juan, Villaescusa",Villaescusa,Liaño,1600000,,,5328,Urbanizable,,"Proyecto 16 viviendas"
285,Inmobiliaria Sebrango,"Terreno en Urbanización la Cabaña, Ribamontán al Monte",Ribamontán al Monte,Villaverde,120000,,,1184,"Urbano (solar)",,
286,Gestión Inmobiliaria Val de Cella,"Terreno en Ca-161, Medio Cudeyo",Medio Cudeyo,Hermosa,250000,,,36000,,,"Incluye edificación 550 m²"
287,eXp Realty España,"Terreno en Barrio Cuatro Caminos, Marina de Cudeyo",Marina de Cudeyo,Elechas,110000,,,714,"Urbano (solar)",,
288,RE/MAX Vértice,"Terreno en Calle Santander, Los Corrales de Buelna",Los Corrales de Buelna,,140000,,,1144,"Urbano (solar)",,
289,Gestión Inmobiliaria Val de Cella,"Terreno en Ca-142, Santa María de Cayón",Santa María de Cayón,La Encina,130000,,,1635,"Urbano (solar)",,
290,altamira21.com,"Terreno en Barrio Las Tejas, Santa María de Cayón",Santa María de Cayón,Argomilla,50000,,,2250,Urbanizable,,
291,altamira21.com,"Terreno en Camino Real, Bareyo",Bareyo,,450000,,,4613,"Urbano (solar)",,
292,Inmobiliarias San Fernando,"Terreno en Barrio Puente San Miguel, Villapresente",Reocín,Villapresente,99000,,,2224,Urbanizable,,"Informe CROTU"
293,MN Tu punto inmobiliario,"Terreno en Castañeda",Castañeda,Pomaluengo,250000,,,1531,"Urbano (solar)",,
294,Inmobiliaria las Dunas,"Terreno en Estradas, Ribamontán al Monte",Ribamontán al Monte,Hoz de Anero,80000,,,1888,Urbanizable,,
295,altamira21.com,"Terreno en Poblado Riaño, Mazcuerras",Mazcuerras,Riaño,212900,,,3804,"Urbano (solar)",,
296,Opportunity & Deal,"Terreno en Avenida Solvay, Torrelavega",Torrelavega,Barreda,114000,,,1148,"Urbano (solar)",,
297,Inmobiliaria PAS-NuevoPiso,"Terreno en Barrio Santa Rosa, Villaescusa",Villaescusa,Liaño,590000,,,6348,"Urbano (solar)",,
298,Look & Find Santander,"Terreno en Lloreda Diseminado, Santa María de Cayón",Santa María de Cayón,Lloreda,390000,,,5655,"Urbano (solar)",,
299,Espazio Inmobiliario,"Terreno en Barrio Casuso, Alfoz de Lloredo",Alfoz de Lloredo,Novales,45000,,,8846,"No urbanizable",,
300,Asesoría Inmobiliaria Santos S.L.,"Terreno en Riva Redonda, Reocín",Reocín,Quijas,75000,,,3314,"Urbano (solar)",,
301,,"Terreno en Calle La Richuela, Penagos",Penagos,El Arenal,51400,,,668,"Urbano (solar)",,
302,Espazio Inmobiliario,"Terreno en Lugar Barrio San Damil, Alfoz de Lloredo",Alfoz de Lloredo,Cóbreces,315000,,,1836,"Urbano (solar)",,
303,Asesoría Inmobiliaria Santos S.L.,"Terreno en Variés, Udías",Udías,Rodezas,160000,,,5932,Urbanizable,,
304,Asesoría Inmobiliaria Santos S.L.,"Terreno en Castañaron Polígono 1 Parcela 58, Udías",Udías,,400000,,,19443,Urbanizable,,"Vistas al mar"
305,altamira21.com,"Terreno en Vía, Tanos, Torrelavega",Torrelavega,Viernoles,149000,,,3062,Urbanizable,,
306,viBe,"Terreno en Ca-141, Marina de Cudeyo",Marina de Cudeyo,Gajano,137000,,,6352,"Urbano (solar)",,
307,Activa Norte Gestión Inmobiliaria,"Terreno en Barrio Puente San Miguel",Reocín,Puente San Miguel,149000,,,1683,"Urbano (solar)",,
308,viBe,"Terreno en Ca-142, Santa María de Cayón",Santa María de Cayón,Esles,30000,,,9524,,,
309,Inmobiliaria Barrio,"Terreno en Barrio Puente San Miguel, Reocín",Reocín,La Robleda,865000,,,4686,"Urbano (solar)",,
310,Inmobiliaria Barrio,"Terreno en Barrio la Penilla, Santa María de Cayón",Santa María de Cayón,La Penilla,180000,,,2300,"Urbano (solar)",,
311,Engel & Völkers Santander,"Terreno en Calle Eulalio Ferrer, Torrelavega",Torrelavega,Campuzano,2000000,,,9298,Urbanizable,,"Residencia mayores"
312,Bankcasas.com,"Terreno en El Astillero",El Astillero,,560800,623800,10,2999,Urbanizable,"3457409VP3035N0001HO|3457402VP3035N0001XO|3457413VP3035N0001WO|3457415VP3035N0001BO",
313,Beyar Inmobiliaria,"Terreno en Camino San Pedruco, Bareyo",Bareyo,,24000,,,3766,"No urbanizable",,
314,Mónica Soto Servicios Inmobiliarios,"Terreno en Barrio Ontoria, Cabezón de la Sal",Cabezón de la Sal,Ontoria,350000,,,3344,"Urbano (solar)",,
315,Mónica Soto Servicios Inmobiliarios,"Terreno en Barrio Luzmela-Frankin, Mazcuerras",Mazcuerras,,425000,,,4160,Urbanizable,,
316,Mónica Soto Servicios Inmobiliarios,"Terreno en Barrio Gandarilla, Comillas",Comillas,,1410000,,,63600,"No urbanizable",,
317,Activa Norte Gestión Inmobiliaria,"Terreno en Barrio el Llano, Udías",Udías,,95000,,,15620,"Urbano (solar)",,
318,ACERO Inmobiliaria,"Terreno en Hoz de Anero, Ribamontán al Monte",Ribamontán al Monte,,90000,,,4700,Urbanizable,,
319,ACERO Inmobiliaria,"Terreno en Barrio Estradas, Ribamontán al Monte",Ribamontán al Monte,Estradas,85000,,,3700,Urbanizable,,
320,Espazio Inmobiliario,"Terreno en Puente San Miguel",Reocín,,170000,,,1683,"Urbano (solar)",,
321,Espazio Inmobiliario,"Terreno en Cerezo - Aspla - Torres, Torrelavega",Torrelavega,,380000,,,7180,"Urbano (solar)",,
322,Espazio Inmobiliario,"Terreno en Sierrapando, Torrelavega",Torrelavega,Sierrapando,180000,,,6120,"No urbanizable",,
323,,"Terreno en La Moya, Mazcuerras",Mazcuerras,,120000,,,8614,Urbanizable,,
324,Asesoría Inmobiliaria Santos S.L.,"Terreno en Las Huertas de los Viejos, Mazcuerras",Mazcuerras,,240000,,,2953,"Urbano (solar)",,
325,gestiona inmobiliaria,"Terreno en Entrambasaguas",Entrambasaguas,Navajeda,130000,,,2100,"Urbano (solar)",,
326,Inmobiliarias San Fernando,"Terreno en Alfoz de Lloredo",Alfoz de Lloredo,,35000,,,3456,"No urbanizable",,
327,Asesoría Inmobiliaria Santos S.L.,"Terreno en Mazcuerras",Mazcuerras,,120000,,,8614,Urbanizable,,
328,Bankcasas.com,"Terreno en Centro, Torrelavega",Torrelavega,Centro,19000,,,113,"Urbano (solar)",,"Proindiviso 40%"
329,Asesoría Inmobiliaria Santos S.L.,"Terreno en Udías",Udías,,350000,,,5950,Urbanizable,,
330,Mónica Soto Servicios Inmobiliarios,"Terreno en Vía, Alfoz de Lloredo",Alfoz de Lloredo,La Busta,23600,,,13332,"No urbanizable",,
331,Mónica Soto Servicios Inmobiliarios,"Terreno en Barrio Caranceja, Reocín",Reocín,Caranceja,53900,58900,8,400,Urbanizable,,
332,MENA INMOBILIARIA,"Terreno en Ribamontán al Monte",Ribamontán al Monte,Villaverde,91000,,,427,"Urbano (solar)",,
333,Inmobiliarias San Fernando,"Terreno en Cartes",Cartes,Riocorvo,39900,,,225,"Urbano (solar)",,
334,Asesoría Inmobiliaria Santos S.L.,"Terreno en Treslama, Mazcuerras",Mazcuerras,,280600,,,4317,"Urbano (solar)",,
335,altamira21.com,"Terreno en Ca-146, Entrambasaguas",Entrambasaguas,,15000,,,2593,,,
336,Inmobiliaria Barrio,"Terreno en Santa María de Cayón",Santa María de Cayón,,650000,,,8300,"Urbano (solar)",,
337,Mónica Soto Servicios Inmobiliarios,"Terreno en Barrio el Llano, Udías",Udías,,45000,,,378,"Urbano (solar)",,
338,Opportunity & Deal,"Terreno en Pb Riaño Ibio, Mazcuerras",Mazcuerras,,500000,,,5554,"Urbano (solar)",,
339,Inmobiliaria las Dunas,"Terreno en Barrio Padierne, Entrambasaguas",Entrambasaguas,Navajeda,100000,,,2073,"Urbano (solar)",,
340,Opportunity & Deal,"Terreno en Cotera, Mazcuerras",Mazcuerras,,650000,,,5600,"Urbano (solar)",,
341,,"Terreno en Calle la Fuente, Cartes",Cartes,Mijarrojos,65000,,,2324,"Urbano (solar)","2691023VN1929S0001GA|39018A003000250000ZO",
342,Mónica Soto Servicios Inmobiliarios,"Terreno en Calle la Torre, Cabezón de la Sal",Cabezón de la Sal,,65000,,,95,,,
343,,"Terreno en Barrio Golbardo, Reocín",Reocín,Golbardo,130000,,,5289,"Urbano (solar)",6396002VN0969N0001RU,
344,Espazio Inmobiliario,"Terreno en Ruiloba",Ruiloba,,59000,,,21480,"No urbanizable",,
345,Espazio Inmobiliario,"Terreno en Ruiloba",Ruiloba,,150000,,,53213,"No urbanizable",,
346,Asesoría Inmobiliaria Santos S.L.,"Terreno en Mazcuerras",Mazcuerras,Sierra de Ibio,125000,,,3922,"Urbano (solar)",,
347,Espazio Inmobiliario,"Terreno en Cartes",Cartes,Riocorvo,93000,,,946,"Urbano (solar)",,"Edificabilidad 0,4; altura 6 m"
348,Espazio Inmobiliario,"Terreno en Cerezo - Aspla - Torres, Torrelavega",Torrelavega,Ganzo,97000,,,5123,"No urbanizable",,"Posible vivienda 150 m²"
349,SONSOLES GRUPO INMOBILIARIO,"Terreno en Reocín",Reocín,Villapresente,150000,,,6195,"No urbanizable",,
350,Asesoría Inmobiliaria Santos S.L.,"Terreno en La Ventuca, Comillas",Comillas,Rioturbio,98000,,,2078,"No urbanizable",,"Granero 68 m²; Parque Oyambre"
351,SONSOLES GRUPO INMOBILIARIO,"Terreno en Reocín",Reocín,Villapresente,49000,,,564,"No urbanizable",,
