id_anuncio,fuente,operacion,tipo_inmueble,subtipo,direccion_texto,barrio_zona,municipio,provincia,precio_eur,precio_anterior_eur,descuento_pct,garaje_incluido,habitaciones,superficie_m2,planta,exterior,ascensor,obra_nueva_categoria,obra_nueva_flag,notas_parseo
1,Inmobiliaria E-Castro,venta,piso,, "Avenida Riomar, 1",Cotolino,Castro-Urdiales,Cantabria,498000,,,sí,4,121,4,sí,sí,otros,0,""
2,Inmobiliarias.com,venta,casa,chalét independiente,"Barrio Brazomar, 46",Cotolino,Castro-Urdiales,Cantabria,575000,,,sí,5,232,,desconocido,desconocido,otros,0,""
3,Inmobiliaria E-Castro,venta,piso,, "Calle Leonardo Rucabado, 6",Centro,Castro-Urdiales,Cantabria,299000,,,desconocido,2,84,3,sí,sí,otros,0,"Garaje no indicado"
4,Inmobiliaria E-Castro,venta,piso,, "Calle de la Ronda, 32",Centro,Castro-Urdiales,Cantabria,340000,,,desconocido,4,99,5,sí,sí,otros,0,"Garaje no indicado"
5,Inmobiliaria E-Castro,venta,casa,chalét independiente,"Barrio Sámano",Sámano,Castro-Urdiales,Cantabria,799000,,,sí,5,511,,desconocido,desconocido,otros,0,"Dirección sin número"
6,Inmobiliarias.com,venta,ático,, "Calle de Angel Perez Hornoas Cholo",Brazomar,Castro-Urdiales,Cantabria,360000,,,sí,3,130,6,sí,sí,otros,0,""
7,Inmobiliarias.com,venta,ático,, "Calle de la Granja",Cotolino,Castro-Urdiales,Cantabria,405000,,,sí,2,90,4,sí,sí,otros,0,""
8,Inmobiliarias.com,venta,piso,, "Calle Ataúlfo Argenta",Cotolino,Castro-Urdiales,Cantabria,415000,,,sí,3,110,2,sí,sí,otros,0,""
9,Inmobiliarias.com,venta,casa,chalét independiente,"Barrio Montealegre",Sámano,Castro-Urdiales,Cantabria,455000,,,desconocido,5,266,,desconocido,desconocido,otros,0,"Garaje no indicado"
10,Inmobiliaria E-Castro,venta,piso,, "Isaac Castillo",Mioño-Santullán,Castro-Urdiales,Cantabria,180000,,,desconocido,4,105,1,sí,no,otros,0,""
11,Exclusivas Inmobiliarias Mikeli,venta,dúplex,, "Calle Doctor Marañón",El Sardinero,Santander,Cantabria,2890000,,,sí,4,310,2,sí,sí,otros,0,""
12,Exclusivas Inmobiliarias Mikeli,venta,piso,, "Avenida Manuel García Lago",El Sardinero,Santander,Cantabria,3150000,,,sí,5,241,4,sí,sí,otros,0,""
13,Inmobiliaria E-Castro,venta,piso,, "Calle Leonardo Rucabado",Centro,Castro-Urdiales,Cantabria,220000,,,desconocido,2,64,6,sí,sí,otros,0,"Dirección sin número"
14,Inmobiliarias.com,venta,casa,chalét independiente,"Barrio Cerdigo",Oriñón-Allendagua,Castro-Urdiales,Cantabria,370000,,,sí,4,227,,desconocido,desconocido,otros,0,""
15,Exclusivas Inmobiliarias Mikeli,venta,piso,, "Avenida Maura",El Sardinero,Santander,Cantabria,520000,,,sí,2,105,1,sí,sí,otros,0,""
16,Exclusivas Inmobiliarias Mikeli,venta,piso,, "Avenida de Cantabria",Valdenoja,Santander,Cantabria,798000,860000,7,sí,3,178,3,sí,sí,otros,0,"En el texto indica edificio construido en 2005"
17,Inmobiliarias.com,venta,casa,chalét adosado,"Calle del Alto de la Cruz",Cotolino,Castro-Urdiales,Cantabria,450000,,,sí,4,250,,desconocido,desconocido,otros,0,""
18,Exclusivas Inmobiliarias Mikeli,venta,piso,, "Paseo de Pereda",Puerto Chico,Santander,Cantabria,1800000,,,desconocido,5,292,4,sí,no,otros,0,"Garaje no indicado"
19,Exclusivas Inmobiliarias Mikeli,venta,casa,chalét independiente,"Barrio la Arnía",Liencres,Piélagos,Cantabria,875000,,,sí,6,308,,desconocido,desconocido,otros,0,""
20,Engel & Völkers Santander,venta,piso,, "Avenida de Pontejos",El Sardinero,Santander,Cantabria,885000,,,sí,4,189,8,sí,sí,otros,0,""
21,Inmobiliaria E-Castro,venta,casa,chalét independiente,"Barrio Brazomar, 46",Cotolino,Castro-Urdiales,Cantabria,575000,,,desconocido,5,232,,desconocido,desconocido,otros,0,"Duplicado potencial del anuncio #2 (misma dirección y precio). Garaje no indicado"
22,altamira21.com,venta,piso,, "Calle Juan de Herrera",Centro - Ayuntamiento,Santander,Cantabria,598000,,,desconocido,4,107,4,sí,sí,otros,0,"Garaje no indicado"
23,Inmobiliarias.com,venta,piso,, "Calle Belén, 3",Centro,Castro-Urdiales,Cantabria,430000,,,desconocido,2,84,2,sí,sí,otros,0,"Indica 'reciente construcción' pero no 'obra nueva' explícito"
24,Inmobiliaria E-Castro,venta,piso,, "Calle Leonardo Rucabado, 50",Brazomar,Castro-Urdiales,Cantabria,270000,,,sí,2,64,2,sí,sí,otros,0,""
25,Inmobiliaria E-Castro,venta,casa,chalét independiente,"Barrio Sámano, 40",Sámano,Castro-Urdiales,Cantabria,360000,,,desconocido,3,221,,desconocido,desconocido,otros,0,"Garaje no indicado"
26,Inmobiliaria E-Castro,venta,casa,chalét pareado,"Calle Aureliano Linares Rivas",Centro,Castro-Urdiales,Cantabria,740000,,,sí,6,400,,desconocido,desconocido,otros,0,"Dirección sin número"
27,Inmobiliaria E-Castro,venta,casa,chalét pareado,"Calle Aureliano Linares Rivas, 17",Centro,Castro-Urdiales,Cantabria,650000,,,desconocido,5,350,,desconocido,desconocido,otros,0,"Garaje no indicado"
28,Inmobiliaria E-Castro,venta,casa,chalét independiente,"Calle Paco Labiano, 5",Playa Ostende,Castro-Urdiales,Cantabria,750000,,,desconocido,4,372,,desconocido,desconocido,otros,0,"Garaje no indicado"
29,Inmobiliarias.com,venta,piso,, "Avenida Riomar, 1",Cotolino,Castro-Urdiales,Cantabria,498000,,,sí,4,120,4,sí,sí,otros,0,"Duplicado potencial del anuncio #1 (misma dirección y precio; m2 difiere 121 vs 120)"
30,Inmobiliarias.com,venta,casa,chalét independiente,"Barrio Sámano",Sámano,Castro-Urdiales,Cantabria,370000,,,sí,4,270,,desconocido,desconocido,otros,0,"Dirección sin número"
116,Inmobiliarias.com,venta,casa,chalét pareado,Avenida de Chinchapapa,Cotolino,Castro-Urdiales,Cantabria,980000,,,sí,,5,448,,desconocido,desconocido,otros,0,"Probable duplicado de #32"
117,Inmobiliarias.com,venta,piso,,Calle Ataúlfo Argenta,Cotolino,Castro-Urdiales,Cantabria,240000,,,desconocido,,2,72,bajo,sí,sí,otros,0,"Garaje no indicado"
118,Inmobiliarias.com,venta,dúplex,,Paseo Menéndez Pelayo,Brazomar,Castro-Urdiales,Cantabria,210000,,,desconocido,,2,101,2,sí,no,otros,0,"2º sin ascensor (texto)"
119,Inmobiliarias.com,venta,piso,,Calle Padre Basabe,Playa Ostende,Castro-Urdiales,Cantabria,350000,,,opcional,"70.000 €",2,87,2,sí,sí,otros,0,"Garaje opcional: no lo marco como incluido"
120,Inmobiliarias.com,venta,piso,,Calle el Hoyo,Playa Ostende,Castro-Urdiales,Cantabria,295000,,,sí,,3,90,1,sí,sí,otros,0,"Probable duplicado de #97 (mismo precio, zona; m² 88 vs 90)"
id_anuncio,fuente,operacion,tipo_inmueble,subtipo,direccion_texto,barrio_zona,municipio,provincia,precio_eur,precio_anterior_eur,descuento_pct,garaje_incluido,garaje_detalle,habitaciones,superficie_m2,planta,exterior,ascensor,obra_nueva_categoria,obra_nueva_flag,notas_parseo
121,Inmobiliarias.com,venta,casa,chalét adosado,Calle de Montecerredo,Brazomar,Castro-Urdiales,Cantabria,550000,,,sí,"2 plazas (texto)",4,260,,desconocido,desconocido,otros,0,""
122,Gestion inmobiliaria Victoria,venta,ático,,Calle Miguel de Cervantes,Brazomar,Castro-Urdiales,Cantabria,280000,,,sí,,2,70,4,sí,sí,otros,0,""
123,Inmobiliarias.com,venta,piso,,Calle Los Caserios,Centro,Castro-Urdiales,Cantabria,250000,,,sí,"garaje amplio (texto)",1,60,5,sí,sí,otros,0,"Vivienda reformada (texto)"
124,Inmobiliarias.com,venta,ático,,Calle Santa Ana,Playa Ostende,Castro-Urdiales,Cantabria,336000,,,sí,"garaje cerrado amplio (texto)",3,130,3,sí,sí,otros,0,""
125,Inmobiliarias.com,venta,piso,,Calle Bajada del Chorrillo,Centro,Castro-Urdiales,Cantabria,299000,,,desconocido,,3,90,2,sí,sí,otros,0,"Garaje no indicado"
126,Inmobiliarias.com,venta,casa,chalét adosado,Barrio Islares,Oriñón-Allendagua,Castro-Urdiales,Cantabria,225000,,,sí,"garaje cerrado (texto)",2,130,,desconocido,desconocido,otros,0,"Texto: 'reformada nueva' (interpreto como reformada, no obra nueva)"
127,Inmobiliarias.com,venta,casa,chalét pareado,Barrio Brazomar,Cotolino,Castro-Urdiales,Cantabria,615000,,,sí,,3,250,,desconocido,desconocido,otros,0,""
128,Inmobiliarias.com,venta,piso,,Barrio Brazomar,Brazomar,Castro-Urdiales,Cantabria,299000,,,desconocido,,2,65,bajo,sí,sí,otros,0,"Garaje no indicado"
129,Gestion inmobiliaria Victoria,venta,piso,,Playa Ostende,Playa Ostende,Castro-Urdiales,Cantabria,350000,,,sí,,3,112,bajo,sí,sí,otros,0,""
130,Inmobiliaria JC de Laredo,venta,casa,chalét independiente,El Puntal,El Puntal,Laredo,Cantabria,550000,,,desconocido,,4,250,,desconocido,desconocido,otros,0,"Texto menciona 'chalet pareado' pero cabecera 'independiente'"
131,Inmobiliaria E-Castro,venta,casa,casa de piedra,"Barrio Allendelagua, 30",Oriñón-Allendagua,Castro-Urdiales,Cantabria,240000,,,desconocido,,4,234,,desconocido,desconocido,otros,0,"Casa de piedra (texto). Garaje no indicado"
132,Exclusivas inmobiliarias mikeli,venta,piso,,Bajada de la Encina,El Sardinero,Santander,Cantabria,790000,,,sí,,4,141,2,sí,sí,otros,0,""
133,Exclusivas inmobiliarias mikeli,venta,piso,,Calle Bonifaz,Puerto Chico,Santander,Cantabria,385000,,,desconocido,,2,80,5,sí,no,otros,0,"Texto: ático reformado. Garaje no indicado"
134,Inmobiliaria JC de Laredo,venta,ático,,Avenida los Caleros,Ris,Noja,Cantabria,350000,,,desconocido,,3,90,4,sí,sí,otros,0,"Probable duplicado de anuncio previo de Trece Home (mismo lugar; m² distinto 130 vs 90)"
135,Deluxe,venta,piso,,El Sardinero,El Sardinero,Santander,Cantabria,925000,,,desconocido,,3,133,6,sí,sí,otros,0,"Garaje no indicado"
136,Inmobiliaria JC de Laredo,venta,dúplex,,Calle Emperador,Centro,Laredo,Cantabria,299000,,,desconocido,,3,115,3,sí,sí,otros,0,"Cabecera dice 'Piso', pero texto dice dúplex"
137,Inmobiliarias.com,venta,piso,,Barrio Oriñón,Oriñón-Allendagua,Castro-Urdiales,Cantabria,199900,,,sí,,2,71,1,sí,sí,otros,0,"Posible solape con anuncio previo de Oriñón (precio 195k vs 199.9k)"
138,Inmobiliarias.com,venta,casa,chalét adosado,Barrio Otañes,Mioño-Santullán,Castro-Urdiales,Cantabria,275000,,,sí,,3,115,,desconocido,desconocido,otros,0,""
139,MiPiso.com,venta,piso,,Francia 18,Zona Playa,Laredo,Cantabria,490000,,,desconocido,,4,108,5,sí,sí,otros,0,"Garaje no indicado"
140,Inmobiliaria Uranga,venta,piso,,Calle República de Costa Rica,Zona Playa,Laredo,Cantabria,259000,,,sí,,2,70,7,sí,sí,otros,0,""
141,Inmobiliaria Mi Villa,venta,piso,,Avenida de España,Centro,Laredo,Cantabria,498000,,,sí,,3,100,bajo,sí,no,otros,0,""
142,Bahía Home,venta,piso,,Calle Lope de Vega 18,Puerto Chico,Santander,Cantabria,550000,,,desconocido,,3,113,4,sí,sí,otros,0,"Garaje no indicado"
143,Inmobiliaria Cidenar,venta,piso,,Calle las Rederas,Castilla - Hermida,Santander,Cantabria,228000,,,desconocido,,3,73,4,desconocido,sí,otros,0,"Piso reformado (texto). Exterior no indicado"
144,Bahía Home,venta,casa,chalét independiente,"Calle El Millajo, 1469",,Miengo,Cantabria,698000,,,sí,,5,244,,desconocido,desconocido,otros,0,"Barrio/zona no indicada"
145,Inmobiliaria Eurocasa,venta,piso,,Calle Vargas,Cuatro Caminos,Santander,Cantabria,320000,,,desconocido,,3,85,4,sí,sí,otros,0,"Garaje no indicado"
146,desconocido,venta,piso,,Calle del Voluntariado 6,Centro,Castro-Urdiales,Cantabria,297000,,,sí,,2,80,1,sí,sí,otros,0,"Fuente no aparece en el recorte"
147,Inmobiliaria Uranga,venta,piso,,Calle República de Colombia,Zona Playa,Laredo,Cantabria,240000,250000,4,desconocido,,2,60,15,sí,sí,otros,0,"Garaje no indicado"
148,Engel & Völkers Santander,venta,piso,,Calle Castelar,Puerto Chico,Santander,Cantabria,1700000,,,sí,,5,235,,sí,sí,otros,0,"Planta no indicada; exterior sí (texto)"
149,Reines Grupo Inmobiliario Santander,venta,piso,,Calle Joaquín Bustamante 6,Alisal - Cazoña - San Román,Santander,Cantabria,298000,,,sí,,3,120,2,sí,no,otros,0,"Texto menciona 90 m² (posible útiles) vs 120 m² (cabecera)"
150,MiPiso.com,venta,casa,chalét pareado,"Calle República de Panamá, 26",El Puntal,Laredo,Cantabria,550000,,,sí,,4,262,,desconocido,desconocido,otros,0,""
151,Engel & Völkers Santander,venta,piso,,Calle Real Racing Club,El Sardinero,Santander,Cantabria,790000,,,sí,,3,176,,sí,sí,otros,0,"Edificio año 2000"
152,FLAT INMOBILIARIA,venta,piso,,Calle Bajada del Chorrillo 3,Centro,Castro-Urdiales,Cantabria,299000,,,desconocido,,3,85,3,sí,sí,otros,0,"Vistas laterales al mar"
153,FLAT INMOBILIARIA,venta,piso,,Calle de la Ronda 18,Centro,Castro-Urdiales,Cantabria,295000,,,desconocido,,3,104,1,sí,sí,otros,0,""
154,Inmonojasol s.l,venta,piso,dúplex,Avenida Ris,Ris,Noja,Cantabria,185000,,,sí,"garaje cerrado (texto)",2,62,2,sí,no,otros,0,"Texto indica tipo dúplex"
155,Inmonojasol s.l,venta,piso,,Calle Los Pinares,Ris,Noja,Cantabria,243000,,,sí,,2,60,bajo,sí,sí,otros,0,"Bajo con jardín"
156,Gestion inmobiliaria Victoria,venta,piso,,Isaac Castillo,Mioño-Santullán,Castro-Urdiales,Cantabria,180000,,,desconocido,,4,116,1,sí,no,otros,0,"Edificio 1960"
157,wejaus,venta,piso,apartamento,Calle Alta 24,Numancia - San Fernando,Santander,Cantabria,185000,,,desconocido,,1,56,1,sí,no,otros,0,"Reforma integral en curso"
158,altamira21.com,venta,piso,,Calle San Sebastian,General Dávila,Santander,Cantabria,209000,215000,3,desconocido,,2,55,3,sí,no,otros,0,"Reformado"
159,Inmobiliarias San Fernando,venta,piso,,Calle Poeta Gerardo Diego,Alisal - Cazoña - San Román,Santander,Cantabria,350000,,,sí,,3,105,1,sí,sí,otros,0,""
160,CHOMON (Margen Izquierda),venta,piso,,Calle Miguel de Cervantes,Brazomar,Castro-Urdiales,Cantabria,269000,,,sí,,2,65,2,sí,sí,otros,0,""
161,altamira21.com,venta,piso,,Via Cornelia 28,General Dávila,Santander,Cantabria,210000,,,desconocido,,3,74,2,sí,no,otros,0,""
162,Gestion inmobiliaria Victoria,venta,dúplex,,Barrio Mioño,Mioño-Santullán,Castro-Urdiales,Cantabria,260000,,,desconocido,,3,124,2,sí,no,otros,0,"Ático dúplex"
163,Pereda 36,venta,casa,chalét independiente,Valdenoja,Valdenoja,Santander,Cantabria,1495000,,,sí,,5,462,,desconocido,desconocido,otros,0,"Villa con ascensor y piscina"
164,Inmobiliaria PAS-NuevoPiso,venta,piso,,Calle Lauro Fernández González,Alisal - Cazoña - San Román,Santander,Cantabria,349000,,,sí,,3,92,1,sí,sí,otros,0,"Prácticamente a estrenar"
165,Inmobiliaria las Dunas,venta,piso,,Calle Jorge Sepúlveda,Monte,Santander,Cantabria,379000,,,sí,,2,80,1,sí,sí,otros,0,"Urbanización con piscina"
166,Inmobiliaria Barrio,venta,piso,,Numancia - San Fernando,Numancia - San Fernando,Santander,Cantabria,165000,,,desconocido,,3,66,5,desconocido,no,otros,0,"Sin ascensor"
167,RK IDEPISOS,venta,piso,,Calle Río de la Pila,General Dávila,Santander,Cantabria,135000,,,desconocido,,1,34,5,sí,no,otros,0,"Buhardilla reformada"
168,Inmobiliaria PAS-NuevoPiso,venta,piso,,Calle la Amistad,General Dávila,Santander,Cantabria,164000,,,desconocido,,3,60,5,sí,no,otros,0,""
169,Inmobiliaria PAS-NuevoPiso,venta,piso,,Calle Francisco Palazuelos,General Dávila,Santander,Cantabria,169900,,,desconocido,,3,61,2,sí,no,otros,0,"A reformar"
170,Inmobiliaria PAS-NuevoPiso,venta,piso,,Calle Casimiro Sainz,Inmobiliaria - Barreda,Torrelavega,Cantabria,134000,,,desconocido,,3,96,2,sí,sí,otros,0,""
171,Inmobiliarias San Fernando,venta,piso,,Calle Francisco Tomás y Valiente,Peñacastillo - Nuevamontaña,Santander,Cantabria,260000,,,sí,,3,89,1,sí,sí,otros,0,""
172,Gestion inmobiliaria Victoria,venta,casa,chalét independiente,Samano,Sámano,Castro-Urdiales,Cantabria,435000,,,desconocido,,4,191,,desconocido,desconocido,otros,0,"Urbanización cerrada"
173,CHOMON (Margen Izquierda),venta,piso,,Calle de San Juan,Ris,Noja,Cantabria,245000,,,desconocido,,3,90,1,sí,no,otros,0,""
174,Inmobiliaria Uranga,venta,piso,,Calle Gutiérrez Rada,Centro,Laredo,Cantabria,175000,,,desconocido,,2,89,bajo,sí,no,otros,0,""
175,Inmobiliaria Uranga,venta,piso,,Barrio Oriñón,Oriñón-Allendagua,Castro-Urdiales,Cantabria,195000,,,sí,,2,70,3,sí,sí,otros,0,""
176,Inmonojasol s.l,venta,piso,,Calle Castrejón,Ris,Noja,Cantabria,210000,,,desconocido,,2,65,1,sí,no,otros,0,""
177,Inmonojasol s.l,venta,piso,,Avenida Ris,Ris,Noja,Cantabria,235000,,,desconocido,,2,74,bajo,sí,sí,otros,0,"Bajo con jardín"
178,Inmonojasol s.l,venta,piso,,Calle Victoria,Tregadín,Noja,Cantabria,240000,,,sí,,2,60,bajo,sí,no,otros,0,""
179,Inmonojasol s.l,venta,piso,,Calle Los Pinares,Ris,Noja,Cantabria,220000,,,sí,,2,60,2,sí,no,otros,0,""
180,ACERO Inmobiliaria,venta,dúplex,,Calle Manuel González Hoyos,Valdenoja,Santander,Cantabria,930000,,,sí,,4,192,4,sí,sí,otros,0,"Vistas al mar"
181,Inmonojasol s.l,venta,piso,,Calle Padre Pedro López,Tregadín,Noja,Cantabria,185000,,,desconocido,,2,60,2,sí,no,otros,0,"Reformado"
182,Básico Homes,venta,piso,,Calle Hermanos Calderón,Peñacastillo - Nuevamontaña,Santander,Cantabria,243000,,,sí,,3,87,1,sí,sí,otros,0,""
183,Inmonojasol s.l,venta,piso,,Avenida Ris,Ris,Noja,Cantabria,269000,,,sí,,3,75,4,sí,sí,otros,0,"Urbanización con piscina; trastero"
184,Gestion inmobiliaria Victoria,venta,casa,chalét independiente,Samano,Sámano,Castro-Urdiales,Cantabria,950000,,,sí,,6,418,,desconocido,desconocido,otros,0,"Parcela 2.552 m2; licencia turística"
185,Gestion inmobiliaria Victoria,venta,piso,,Playa Ostende,Playa Ostende,Castro-Urdiales,Cantabria,350000,,,no,,2,98,2,sí,sí,otros,0,"Vistas al mar"
186,Distrito inmobiliario,venta,casa,chalét independiente,Calle Luis Martínez,El Sardinero,Santander,Cantabria,2900000,,,sí,,5,391,,desconocido,desconocido,otros,0,"Lujo"
187,Gestion inmobiliaria Victoria,venta,casa,casa de pueblo,Mioño-Santullán,Mioño-Santullán,Castro-Urdiales,Cantabria,280000,,,no,,4,180,,desconocido,desconocido,otros,0,"Construcción 1921; 2 apartamentos"
188,Estudio Barakaldo,venta,casa,chalét independiente,Oriñón-Allendagua,Islares,Castro-Urdiales,Cantabria,619900,,,no,,6,320,,desconocido,desconocido,otros,0,"Vistas al mar"
189,ACERO Inmobiliaria,venta,piso,apartamento,Urbanización Ría del Pas,Boo,Piélagos,Cantabria,190000,,,no,,2,70,1,sí,sí,otros,0,"Urbanización con piscina"
190,RUBIO INMOBILIARIA,venta,casa,casa independiente,Barrio Las Carcobas,El Callejo - La Pesquera - La Arenosa,Laredo,Cantabria,460000,,,sí,,3,295,,desconocido,desconocido,otros,0,"Terreno 6.700 m2; menciona vistas al mar"
191,Inmobiliarias San Fernando,venta,piso,,Calle San Celedonio,General Dávila,Santander,Cantabria,279000,,,no,,3,78,3,sí,sí,otros,0,""
192,ACERO Inmobiliaria,venta,piso,,Avenida de Valdecilla,Cuatro Caminos,Santander,Cantabria,490000,,,sí,"garaje cerrado (texto)",5,141,7,sí,sí,otros,0,"Terraza al sur"
193,THE SIBARIST Property & Homes Cantabria,venta,casa,chalét independiente,Liencres,Liencres,Piélagos,Cantabria,1700000,,,sí,,4,220,,desconocido,desconocido,otros,0,"Vistas al mar; lujo; villa"
194,ACERO Inmobiliaria,venta,piso,,Calle María Cristina,General Dávila,Santander,Cantabria,170000,,,no,,1,51,entreplanta,sí,no,otros,0,"Sin ascensor"
195,RK IDEPISOS,venta,casa,casa,Peñacastillo - Nuevamontaña,Peñacastillo - Nuevamontaña,Santander,Cantabria,198000,,,no,,4,440,,desconocido,desconocido,otros,0,"Para reformar; potencial varios apartamentos"
196,ACERO Inmobiliaria,venta,piso,,Calle Santa Lucía,Puerto Chico,Santander,Cantabria,165000,,,no,,3,52,4,sí,no,otros,0,"Sin ascensor"
197,MENA INMOBILIARIA,venta,casa,casa,Parbayón,Parbayón,Piélagos,Cantabria,215000,,,sí,,3,146,,desconocido,desconocido,otros,0,"Finca 700 m2"
198,Inmobiliarias San Fernando,venta,piso,,Calle Eusebio Santamaría,Peñacastillo - Nuevamontaña,Santander,Cantabria,250000,,,sí,,2,68,5,sí,sí,otros,0,""
199,Inmobiliaria Barrio,venta,dúplex,,Castilla - Hermida,Castilla - Hermida,Santander,Cantabria,372000,,,no,,3,108,5,sí,sí,otros,0,"Ascensor a cota cero"
200,desconocido,venta,casa,casa independiente,Calle la Llanilla,Alisal - Cazoña - San Román,Santander,Cantabria,890000,,,sí,,4,267,,desconocido,desconocido,otros,0,""
201,Distrito inmobiliario,venta,piso,,Calle Leopoldo Pardo,Castilla - Hermida,Santander,Cantabria,250000,,,no,,2,78,3,sí,sí,otros,0,"Para reformar"
202,Exclusivas inmobiliarias mikeli,venta,casa,chalét pareado,Calle Vicente Trueba 3,Alisal - Cazoña - San Román,Santander,Cantabria,475000,495000,4,sí,,4,228,,desconocido,desconocido,otros,0,""
203,Exclusivas inmobiliarias mikeli,venta,casa,chalét adosado,Avenida de Cantabria,La Pereda,Santander,Cantabria,580000,,,sí,,5,159,,desconocido,desconocido,otros,0,""
204,Exclusivas inmobiliarias mikeli,venta,casa,chalét independiente,Barrio Huyo,Somo,Ribamontán al Mar,Cantabria,1620000,,,sí,,7,553,,desconocido,desconocido,otros,0,"Vistas al mar; lujo"
205,Trece Home,venta,casa,chalét independiente,Avenida del Faro,Ajo,,Cantabria,470000,,,sí,,4,269,,desconocido,desconocido,otros,0,"Vistas al mar"
206,altamira21.com,venta,casa,chalét independiente,Barrio las Cerreas,Liencres,Piélagos,Cantabria,950000,,,sí,,5,351,,desconocido,desconocido,otros,0,"Vistas al mar"
207,altamira21.com,venta,piso,,Calle los Indianos,Numancia - San Fernando,Santander,Cantabria,285000,,,no,,3,69,3,sí,no,otros,0,"Reformado"
208,altamira21.com,venta,casa,chalét,Barrio la Sierra 38,Hazas de Cesto,Praves,Cantabria,490000,,,no,,8,248,,desconocido,desconocido,otros,0,"Uso turístico/negocio (texto)"
209,Inmobiliaria E-Castro,venta,casa,chalét independiente,Barrio Cereceda 11,Rasines,Rasines,Cantabria,295000,,,no,,3,228,,desconocido,desconocido,otros,0,"Parcela 427 m2"
210,Inmobiliaria E-Castro,venta,casa,chalét independiente,Calle Monte,Santoña,Santoña,Cantabria,1200000,,,sí,,4,348,,desconocido,desconocido,otros,0,"Vistas al mar"
211,Exclusivas inmobiliarias mikeli,venta,casa,chalét,Calle Castío,Santillana del Mar,Santillana del Mar,Cantabria,1090000,,,sí,,7,492,,desconocido,desconocido,otros,0,""
212,Inmobiliaria JC de Laredo,venta,casa,chalét independiente,Calle San Pedro,Limpias,Seña (Limpias),Cantabria,349000,,,sí,,3,158,,desconocido,desconocido,otros,0,""
213,RE/MAX Vértice,venta,piso,,Calle Castilla,Castilla - Hermida,Santander,Cantabria,220000,230000,4,no,,3,121,8,sí,sí,otros,0,""
214,Inmobiliaria JC de Laredo,venta,casa,chalét independiente,Centro,Centro,Laredo,Cantabria,369000,,,no,,5,205,,desconocido,desconocido,otros,0,""
215,Inmobiliaria JC de Laredo,venta,casa,chalét adosado,Barcena de Cicero,Barcena de Cicero,,Cantabria,358000,,,sí,,4,231,,desconocido,desconocido,otros,0,""
216,donpiso Santander,venta,piso,,Calle Marqués de la Hermida,Castilla - Hermida,Santander,Cantabria,240000,,,no,,4,107,1,sí,sí,otros,0,""
217,Inmobiliaria JC de Laredo,venta,casa,casa independiente,Barcena de Cicero,Barcena de Cicero,,Cantabria,890000,,,sí,,5,500,,desconocido,desconocido,otros,0,"Casa de piedra (texto)"
218,Inmobiliaria Mi Villa,venta,casa,chalét independiente,Limpias,Limpias,,Cantabria,369000,,,sí,,5,204,,desconocido,desconocido,otros,0,""
219,Inmobiliaria Mi Villa,venta,piso,,Ampuero,Ampuero,,Cantabria,169000,,,sí,,3,113,2,sí,no,otros,0,"Reformado (texto)"
220,Trece Home,venta,piso,dúplex,Calle Salceda,Pedroso,Noja,Cantabria,225000,,,sí,,2,85,2,sí,no,otros,0,"Vistas al mar"
221,Inmobiliaria Mi Villa,venta,casa,casa independiente,Limpias,Limpias,,Cantabria,445000,,,sí,,3,212,,desconocido,desconocido,otros,0,"Vistas al mar; aerotermia"
222,Trece Home,venta,casa,chalét,Calle el Casar,Tregadín,Noja,Cantabria,1290000,,,sí,,4,740,,desconocido,desconocido,otros,0,"Parcela 3.200 m2 (texto)"
223,RE/MAX Vértice,venta,casa,chalét independiente,Barrio el Albulde,Meruelo,Meruelo,Cantabria,680000,,,sí,,4,281,,desconocido,desconocido,otros,0,"Lujo/villa (texto)"
224,Inmobiliaria JC de Laredo,venta,piso,,Colindres,Colindres,,Cantabria,159000,,,no,,2,73,2,sí,sí,otros,0,""
225,altamira21.com,venta,piso,,Calle los Foramontanos,Alisal - Cazoña - San Román,Santander,Cantabria,195000,,,no,,3,93,2,sí,sí,otros,0,"Alquilado hasta feb 2027"
226,RE/MAX Vértice,venta,casa,chalét independiente,Escobedo,Escobedo,Camargo,Cantabria,680000,,,sí,,5,401,,desconocido,desconocido,otros,0,""
227,Engel & Völkers Santander,venta,casa,chalét pareado,Calle Francisco de Cáceres,Valdenoja,Santander,Cantabria,1050000,,,sí,,4,379,,desconocido,desconocido,otros,0,""
228,Engel & Völkers Santander,venta,casa,casa independiente,Abra del Pas,Mogro,,Cantabria,950000,,,sí,,8,286,,desconocido,desconocido,otros,0,"Vistas al mar; villa"
229,Trece Home,venta,piso,,Avenida Benedicto Ruiz,Ajo,,Cantabria,325000,,,no,,3,101,2,desconocido,desconocido,otros,0,"Reformado y a estrenar (texto)"
230,Exclusivas inmobiliarias mikeli,venta,casa,chalét independiente,Calle de la Arnia,Soto de la Marina,Santa Cruz de Bezana,Cantabria,1290000,,,sí,,5,439,,desconocido,desconocido,otros,0,""
231,Exclusivas inmobiliarias mikeli,venta,casa,chalét independiente,Guriezo,Guriezo,,Cantabria,630000,650000,3,no,,4,255,,desconocido,desconocido,otros,0,""
232,Inmobiliaria JC de Laredo,venta,finca_rustica,,Voto,Voto,,Cantabria,229000,,,no,,7,622,,desconocido,desconocido,otros,0,""
